,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
2,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
3,/haruki-murakami/kafka-na-plyazhe/,Харуки Мураками,Кафка на пляже,False
4,/elena-ferrante-10410544/moya-genialnaya-podruga-24890023/,Элена Ферранте,Моя гениальная подруга,True
5,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
6,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
7,/luk-ollnatt/nebo-prinadlezhit-nam/,Люк Оллнатт,Небо принадлежит нам,False
8,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
9,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
10,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
11,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
12,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
13,/bernhard-shlink/letnie-obmany/,Бернхард Шлинк,Летние обманы,False
14,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
15,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
16,/adel-faber/svobodnye-roditeli-svobodnye-deti/,Элейн Мазлиш,"Свободные родители, свободные дети",False
17,/tuve-yansson/malenkie-trolli-i-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли и большое наводнение,False
18,/kris-gardner/v-pogone-za-schastem/,Крис Гарднер,В погоне за счастьем,False
19,/bob-batchelor-15159760/sten-li-sozdatel-velikoy-vselennoy-marvel/,Боб Батчелор,Стэн Ли. Создатель великой вселенной Marvel,False
20,/natali-de-buagrole/vospityvat-ne-povyshaya-golosa-kak-vernut-sebe-spokoyst/,Натали Де Буагролье,"Воспитывать, не повышая голоса. Как вернуть себе спокойствие, а детям – детство",False
21,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
22,/holli-blek/spaydervik-hroniki/,Холли Блэк,Спайдервик. Хроники,False
23,/giyom-musso/posle/,Гийом Мюссо,После…,False
24,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
25,/vik-dzheyms/zolotaya-kletka/,Вик Джеймс,Золотая клетка,False
26,/sergey-urskiy/igra-v-zhizn/,Сергей Юрский,Игра в жизнь,False
27,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
28,/dina-buholc/povarennaya-kniga-garri-pottera-bolee-150-volshebnyh-receptov/,Дина Бухольц,Поваренная книга Гарри Поттера. Более 150 волшебных рецептов для маглов и волшебников,False
29,/elison-ueyr/ekaterina-aragonskaya-istinnaya-koroleva/,Элисон Уэйр,Екатерина Арагонская. Истинная королева,False
30,/dzherald-darrell/tri-bileta-do-edvencher/,Джеральд Даррелл,Три билета до Эдвенчер,False
31,/chezare-lombrozo/genialnost-i-pomeshatelstvo-5311699/,Чезаре Ломброзо,Гениальность и помешательство,True
32,/brem-stoker/drakula-inscenirovka-173327/,Брэм Стокер,Дракула (инсценировка),True
33,/i-p-kuklina/tales-about-animals-skazki-i-rasskazy-o-zhivotnyh-kni-38005192/,И. П. Куклина,Tales about Animals / Сказки и рассказы о животных. Книга для чтения на английском языке,False
34,/sharlotta-bronte/dzheyn-eyr-sokraschennyy-pereskaz-21991444/,Шарлотта Бронте,Джейн Эйр (сокращенный пересказ),True
35,/lev-tolstoy/anna-karenina-v-sokraschenii-chast-2-5644469/,Лев Толстой,Анна Каренина (в сокращении). Часть 2,True
