,Link,Author,Title,Is_Audio
0,/fenni-flegg/zharenye-zelenye-pomidory-v-kafe-polustanok/,Фэнни Флэгг,Жареные зеленые помидоры в кафе «Полустанок»,False
1,/haled-hosseyni/beguschiy-za-vetrom/,Халед Хоссейни,Бегущий за ветром,False
2,/robert-haynlayn/dver-v-leto/,Роберт Хайнлайн,Дверь в Лето,False
3,/haled-hosseyni/tysyacha-siyauschih-solnc/,Халед Хоссейни,Тысяча сияющих солнц,False
4,/haled-hosseyni/i-eho-letit-po-goram-6354910/,Халед Хоссейни,И эхо летит по горам,False
5,/ketrin-stokett/prisluga-3/,Кэтрин Стокетт,Прислуга,False
6,/entoni-robbins/kniga-o-vlasti-nad-soboy-18737504/,Энтони Роббинс,Книга о власти над собой,True
7,/liana-moriarti/vernye-bezumnye-vinovnye/,Лиана Мориарти,"Верные, безумные, виновные",False
8,/tom-henks/unikalnyy-ekzemplyar-istorii-o-tom-o-sem/,Том Хэнкс,Уникальный экземпляр: Истории о том о сём,False
9,/edvard-rezerford/parizh/,Эдвард Резерфорд,Париж,False
10,/lourens-shorter/kniga-lenivogo-guru-potok-rezultaty-bez-usiliy-22078098/,Лоуренс Шортер,Книга ленивого гуру. Поток. Результаты. Без усилий,False
11,/tess-gerritsen/dvoynik-155884/,Тесс Герритсен,Двойник,False
12,/aleksey-ivanovich-tolkachev/lichnaya-vlast-19225464/,Николай Мрочковский,Личная власть,True
13,/nassim-nikolas-taleb/odurachennye-sluchaynostu-o-skrytoy-roli-shansa-v-biz/,Нассим Николас Талеб,Одураченные случайностью,False
14,/timoti-ferris/kak-rabotat-po-chetyre-chasa-v-nedelu-21130719/,Тимоти Феррис,Как работать по четыре часа в неделю,True
15,/robin-hobb/volshebnyy-korabl/,Робин Хобб,Волшебный корабль,False
16,/naydzhel-kamberlend/ne-zhaley-ni-o-chem-i-esche-99-pravil-schastlivyh-ludey/,Найджел Камберленд,Не жалей ни о чем. И еще 99 правил счастливых людей,False
17,/deyv-grey/liminalnoe-myshlenie/,Дейв Грей,Лиминальное мышление. Как перейти границы своих убеждений,False
18,/zhan-kristof-granzhe/lontano/,Жан-Кристоф Гранже,Лонтано,False
19,/zhan-kristof-granzhe/kongo-rekviem/,Жан-Кристоф Гранже,Конго Реквием,False
20,/kristin-hanna/solovey/,Кристин Ханна,Соловей,False
21,/luiza-penni/priroda-zverya/,Луиза Пенни,Природа зверя,False
22,/anri-sharer/motylek-2/,Анри Шарьер,Мотылек,False
23,/enn-tayler/katushka-sinih-nitok/,Энн Тайлер,Катушка синих ниток,False
24,/selesta-ing/vse-chego-ya-ne-skazala/,Селеста Инг,"Все, чего я не сказала",False
25,/frank-tile/pandemiya/,Франк Тилье,Пандемия,False
26,/aleksey-ivanovich-tolkachev/ekstremalnyy-taym-menedzhment-19151360/,Николай Мрочковский,Экстремальный тайм-менеджмент,True
27,/elizabet-gilbert/bolshoe-volshebstvo/,Элизабет Гилберт,Большое волшебство,False
28,/dzheyms-dzhoys/uliss/,Джеймс Джойс,Улисс,False
29,/deyl-brekenridzh-karnegi-2/kak-vyrabotat-uverennost-v-sebe-i-vliyat-na-ludey-vystupaya-publichno-11816688/,Дейл Карнеги,"Как выработать уверенность в себе и влиять на людей, выступая публично",True
30,/korneliya-funke/chernilnoe-serdce/,Корнелия Функе,Чернильное сердце,False
31,/maykl-uilson/samodisciplina-razvitie-lichnosti/,Майкл Уилсон,Самодисциплина. Развитие личности,True
32,/mark-reyter/triggery-formiruy-privychki-zakalyay-harakter/,Маршалл Голдсмит,Триггеры. Формируй привычки – закаляй характер,False
33,/keyt-menning/moya-nechestivaya-zhizn/,Кейт Мэннинг,Моя нечестивая жизнь,False
34,/sara-edison-allen/sadovye-chary/,Сара Эдисон Аллен,Садовые чары,False
35,/mark-levi/ona-on/,Марк Леви,Она & Он,False
36,/robert-haynlayn/chuzhak-v-strane-chuzhoy/,Роберт Хайнлайн,Чужак в стране чужой,False
37,/fenni-flegg/o-chem-ves-gorod-govorit/,Фэнни Флэгг,О чем весь город говорит,False
38,/dzhuliya-kemeron/dolgie-progulki-prakticheskiy-podhod-k-tvorchestvu/,Джулия Кэмерон,Долгие прогулки. Практический подход к творчеству,False
39,/i-izerles/zacharovannye/,Инбали Изерлес,Зачарованные,False
40,/frank-tile/strah/,Франк Тилье,Страх,False
41,/kolm-toybin/bruklin/,Колм Тойбин,Бруклин,False
