,Link,Author,Title,Is_Audio
0,/dzhia-dzhiang/a-ya-tebya-net-kak-ne-boyatsya-otkazov-i-idti-naprolom-k-svo/,Джиа Джианг,А я тебя «нет». Как не бояться отказов и идти напролом к своей цели,False
1,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
2,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
3,/dzhoanna-faber/kak-govorit-chtoby-malenkie-deti-vas-slushali-rukovodstvo-po-vyzhivaniu-s-detmi-ot-2-do-7-let/,Джули Адэр Кинг,"Как говорить, чтобы маленькие дети вас слушали. Руководство по выживанию с детьми от 2 до 7 лет",False
4,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
5,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
6,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
7,/silvi-d-eskleb/montessori-150-zanyatiy-s-malyshom-doma/,Сильви Д’Эсклеб,Монтессори. 150 занятий с малышом дома,False
8,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
9,/tasha-eyrih-12782317/insayt-pochemu-my-ne-osoznaem-sebya-tak-horosho-kak-nam-kazhetsya-i-pochemu-otchetlivoe-predstavlenie-o-sebe-pomogaet-dobitsya-uspeha-v-rabote-i-lichnoy-zhizni/,Таша Эйрих,"Инсайт. Почему мы не осознаем себя так хорошо, как нам кажется, и почему отчетливое представление о себе помогает добиться успеха в работе и личной жизни",False
10,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
11,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
12,/neyt-kuper/kak-sozdat-sayt-komiks-putevoditel-po-html-css-i-wordp-40469918/,Нейт Купер,"Как создать сайт. Комикс-путеводитель по HTML, CSS и WordPress",False
13,/dzheff-houi/sdvig-kak-vyzhit-v-stremitelnom-buduschem/,Джой Ито,Сдвиг. Как выжить в стремительном будущем,False
14,/donald-sull/prostye-pravila-kak-preuspet-v-slozhnom-mire/,Дональд Сулл,Простые правила. Как преуспеть в сложном мире,False
15,/bobbi-konner/500-idey-dlya-tvorcheskogo-razvitiya-igraem-izobrazh-24131838/,Бобби Коннер,"500 идей для творческого развития. Играем, изображаем, рисуем, танцуем, поем, пишем, строим, мастерим",False
16,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
17,/taynan/supermen-po-privychke/,Тайнан,Супермен по привычке. Как внедрять и закреплять полезные навыки,False
