,Link,Author,Title,Is_Audio
0,/nil-stivenson/semievie/,Нил Стивенсон,Семиевие,False
1,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
2,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
3,/den-brule/prosto-dyshi-spokoystvie-garmoniya-zdorove-uspeh/,Дэн Брюле,Просто дыши. Спокойствие. Гармония. Здоровье. Успех,False
4,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
5,/denis-celyh/romancev-pravda-obo-mne-i-spartake/,Денис Целых,Романцев. Правда обо мне и «Спартаке»,False
6,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
7,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
8,/adel-faber/kak-govorit-s-detmi-chtoby-oni-uchilis-23118681/,Элейн Мазлиш,"Как говорить с детьми, чтобы они учились",False
9,/genri-haggard/kopi-carya-solomona-173402/,Генри Райдер Хаггард,Копи царя Соломона,True
10,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
11,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
12,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
13,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
14,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
15,/elison-ueyr/ekaterina-aragonskaya-istinnaya-koroleva/,Элисон Уэйр,Екатерина Арагонская. Истинная королева,False
16,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
17,/edmond-gamilton/zvezdnye-koroli-19196049/,Эдмонд Мур Гамильтон,Звездные короли (сборник),False
18,/dzherald-darrell/tri-bileta-do-edvencher/,Джеральд Даррелл,Три билета до Эдвенчер,False
19,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
20,/dzheyn-ostin/gordost-i-predubezhdenie-sokraschennyy-pereskaz-173425/,Джейн Остин,Гордость и предубеждение (сокращенный пересказ),True
21,/brem-stoker/drakula-inscenirovka-173327/,Брэм Стокер,Дракула (инсценировка),True
22,/rayan-ferguson/zona-trenirovok-stan-silnee-bystree-i-umnee/,Райан Фергюсон,"Зона тренировок. Стань сильнее, быстрее и умнее",False
23,/shennon-leoni-fauler/puteshestvuya-s-priznakami-vdohnovlyauschaya-istoriya/,Шэннон Леони Фаулер,Путешествуя с призраками. Вдохновляющая история любви и поиска себя,False
24,/ivan-turgenev/shkolnaya-hrestomatiya-otcy-i-deti-5314576/,Иван Тургенев,Школьная хрестоматия. Отцы и дети,True
25,/mayn-rid/morskoy-volchonok-5317309/,Майн Рид,Морской волчонок,True
