,Link,Author,Title,Is_Audio
0,/stuart-terton/sem-smertey-eveliny-hardkasl/,Стюарт Тёртон,Семь смертей Эвелины Хардкасл,False
1,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
4,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
5,/den-brule/prosto-dyshi-spokoystvie-garmoniya-zdorove-uspeh/,Дэн Брюле,Просто дыши. Спокойствие. Гармония. Здоровье. Успех,False
6,/dzhon-gay/dve-korolevy/,Джон Гай,Две королевы,False
7,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
8,/elis-sibold/milye-kosti/,Элис Сиболд,Милые кости,False
9,/niki-segnit-10579857/tezaurus-vkusov/,Ники Сегнит,Тезаурус вкусов,False
10,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
11,/dzhuliya-kouv/luchshe-est-zhit-chuvstvovat-recepty-blud-kotorye-p-38276316/,Джулия Коув,"Лучше есть, жить, чувствовать! Рецепты блюд, которые помогут вам стать здоровыми и счастливыми",False
12,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
13,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
14,/aleksandr-pushkin/evgeniy-onegin-5807213/,Александр Пушкин,Евгений Онегин,True
15,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
16,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
17,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
18,/adam-ho/deti-i-dengi-kniga-dlya-roditeley-iz-strany-v-kotoroy-nauchilis-effektivno-upravlyat-finansami/,Адам Хо,"Дети и деньги. Книга для родителей из страны, в которой научились эффективно управлять финансами",False
19,/adel-faber/svobodnye-roditeli-svobodnye-deti/,Элейн Мазлиш,"Свободные родители, свободные дети",False
20,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
21,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
22,/gerbert-dzhordzh-uells/chelovek-nevidimka-22208259/,Герберт Уэллс,Человек-невидимка,True
23,/tuve-yansson/malenkie-trolli-i-bolshoe-navodnenie/,Туве Янссон,Маленькие тролли и большое наводнение,False
24,/holli-blek/spaydervik-hroniki/,Холли Блэк,Спайдервик. Хроники,False
25,/e-kristensen/yoga-dlya-vseh-put-k-zdorovu-2/,Элис Кристенсэн,Йога для всех. Путь к здоровью,False
26,/keyt-hadson/prosto-byt-schastlivoy-izmeni-sebya-ne-izmenyaya-sebe/,Кейт Хадсон,"Просто быть счастливой: измени себя, не изменяя себе",False
27,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
28,/devid-grann/zateryannyy-gorod-z/,Дэвид Гранн,Затерянный город Z,False
29,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
30,/sergey-urskiy/igra-v-zhizn/,Сергей Юрский,Игра в жизнь,False
31,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
32,/stiven-guld/teleport/,Стивен Гулд,Телепорт,False
33,/vasiliy-kluchevskiy/istoricheskie-portrety-i-etudy-5311682/,Василий Осипович Ключевский,Исторические портреты и этюды,True
34,/chezare-lombrozo/genialnost-i-pomeshatelstvo-5311699/,Чезаре Ломброзо,Гениальность и помешательство,True
35,/rayan-ferguson/zona-trenirovok-stan-silnee-bystree-i-umnee/,Райан Фергюсон,"Зона тренировок. Стань сильнее, быстрее и умнее",False
