,Link,Author,Title,Is_Audio
0,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
1,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
2,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
3,/neyt-kuper/kak-sozdat-sayt-komiks-putevoditel-po-html-css-i-wordp-40469918/,Нейт Купер,"Как создать сайт. Комикс-путеводитель по HTML, CSS и WordPress",False
4,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
5,/aleks-roulings-13329/kak-zagovorit-na-lubom-yazyke-uvlekatelnaya-metodika/,Алекс Роулингс,"Как заговорить на любом языке. Увлекательная методика, позволяющая быстро и эффективно выучить любой иностранный язык",False
6,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
7,/boris-dzhonson/faktor-cherchillya-kak-odin-chelovek-izmenil-istoriu/,Борис Джонсон,Фактор Черчилля. Как один человек изменил историю,False
8,/bobbi-konner/500-idey-dlya-tvorcheskogo-razvitiya-igraem-izobrazh-24131838/,Бобби Коннер,"500 идей для творческого развития. Играем, изображаем, рисуем, танцуем, поем, пишем, строим, мастерим",False
9,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
10,/tasha-eyrih-12782317/insayt-pochemu-my-ne-osoznaem-sebya-tak-horosho-kak-nam-kazhetsya-i-pochemu-otchetlivoe-predstavlenie-o-sebe-pomogaet-dobitsya-uspeha-v-rabote-i-lichnoy-zhizni/,Таша Эйрих,"Инсайт. Почему мы не осознаем себя так хорошо, как нам кажется, и почему отчетливое представление о себе помогает добиться успеха в работе и личной жизни",False
11,/donald-sull/prostye-pravila-kak-preuspet-v-slozhnom-mire/,Дональд Сулл,Простые правила. Как преуспеть в сложном мире,False
12,/oliver-bouden/assassin-s-creed-renessans/,Оливер Боуден,Assassin's Creed. Ренессанс,False
13,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
14,/devid-grann/zateryannyy-gorod-z/,Дэвид Гранн,Затерянный город Z,False
15,/aleksandr-lukin/istoriya-puteshestvie-v-drevnuu-rus-14109848/,Александр Лукин,История. Путешествие в древнюю Русь,True
16,/devid-perlmutter/zdorovyy-mozg-programma-dlya-uluchsheniya-pamyati-i-myshleniya/,Дэвид Перлмуттер,Здоровый мозг. Программа для улучшения памяти и мышления,False
17,/dzheff-houi/sdvig-kak-vyzhit-v-stremitelnom-buduschem/,Джой Ито,Сдвиг. Как выжить в стремительном будущем,False
18,/uolter-levin/glazami-fizika-ot-kraya-radugi-k-granice-vremeni/,Уолтер Левин,Глазами физика. От края радуги к границе времени,False
19,/brus-tulgan/ne-vsem-dostanetsya-priz-kak-upravlyat-pokoleniem-y-22667297/,Брюс Тулган,Не всем достанется приз. Как управлять поколением Y,False
20,/brayan-treysi/polnaya-vovlechennost-vdohnovlyayte-motiviruyte-i-raskryvayt/,Брайан Трейси,"Полная вовлеченность. Вдохновляйте, мотивируйте и раскрывайте все лучшее в своей команде",False
21,/valter-skott/talisman-ili-richard-lvinoe-serdce-v-palestine-173405/,Вальтер Скотт,"Талисман, или Ричард Львиное Сердце в Палестине",True
22,/arthur-konan-doyle/marakotova-bezdna-173316/,Артур Конан Дойл,Маракотова бездна,True
23,/taynan/supermen-po-privychke/,Тайнан,Супермен по привычке. Как внедрять и закреплять полезные навыки,False
24,/morten-hansen-2/kollaboraciya-kak-pereyti-ot-sopernichestva-k-sotrudniches/,Мортен Хансен,Коллаборация. Как перейти от соперничества к сотрудничеству,False
25,/aleksandr-duma/the-three-musketeers-tri-mushketera-173320/,Александр Дюма,The Three Musketeers / Три мушкетера,True
26,/vasiliy-kluchevskiy/istoricheskie-portrety-i-etudy-5311682/,Василий Осипович Ключевский,Исторические портреты и этюды,True
27,/chezare-lombrozo/genialnost-i-pomeshatelstvo-5311699/,Чезаре Ломброзо,Гениальность и помешательство,True
28,/viktor-gugo/sobor-parizhskoy-bogomateri-sokraschennyy-pereskaz-173344/,Виктор Мари Гюго,Собор парижской Богоматери (сокращенный пересказ),True
29,/petr-vasilevich-sytin/istorii-moskovskih-ulic-vypusk-1/,Петр Васильевич Сытин,Истории московских улиц. Выпуск 1,True
