,Link,Author,Title,Is_Audio
0,/fredrik-bakman/zdes-byla-britt-mari-35426973/,Фредрик Бакман,Здесь была Бритт-Мари,True
1,/robin-hobb/ubiyca-shuta/,Робин Хобб,Убийца Шута,False
2,/ekaterina-ostrovskaya/aktery-zatonuvshego-teatra/,Екатерина Островская,Актеры затонувшего театра,False
3,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
4,/dzhuliya-kouv/luchshe-est-zhit-chuvstvovat-recepty-blud-kotorye-p-38276316/,Джулия Коув,"Лучше есть, жить, чувствовать! Рецепты блюд, которые помогут вам стать здоровыми и счастливыми",False
5,/maykl-marshall/solomennye-ludi/,Майкл Маршалл,Соломенные люди,False
6,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
7,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
8,/ketrin-stokett/prisluga-35895435/,Кэтрин Стокетт,Прислуга,True
9,/giyom-musso/posle/,Гийом Мюссо,После…,False
10,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
11,/mihail-bulgakov/morfiy-i-drugie-rasskazy-178526/,Михаил Булгаков,Морфий и другие рассказы,True
12,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
13,/k-hirsh-pasek/znat-ili-umet-6-kluchevyh-navykov-sovremennogo-rebenka/,Кэти Хирш-Пасек,Знать или уметь? 6 ключевых навыков современного ребенка,False
14,/ukio-misima/ispoved-maski/,Юкио Мисима,Исповедь маски,False
15,/dzheff-houi/sdvig-kak-vyzhit-v-stremitelnom-buduschem/,Джой Ито,Сдвиг. Как выжить в стремительном будущем,False
16,/gillian-flinn/kto-to-vzroslyy/,Гиллиан Флинн,Кто-то взрослый,False
17,/bet-kouts/kak-by-postupila-kleopatra-kak-velikie-zhenschiny-reshali-ezhedn/,Элизабет Фоули,Как бы поступила Клеопатра? Как великие женщины решали ежедневные проблемы: от Фриды Кало до Анны Ахматовой,False
18,/mari-turell-soderberg/hugge-datskoe-iskusstvo-schastya/,Мари Турелл Содерберг,Хюгге. Датское искусство счастья,False
19,/taynan/supermen-po-privychke/,Тайнан,Супермен по привычке. Как внедрять и закреплять полезные навыки,False
20,/morten-hansen-2/kollaboraciya-kak-pereyti-ot-sopernichestva-k-sotrudniches/,Мортен Хансен,Коллаборация. Как перейти от соперничества к сотрудничеству,False
21,/aleksandr-kuprin/moloh-173513/,Александр Куприн,Молох,True
22,/a-iopp/mne-ochen-nravitsya-kurit-no-ya-brosau-2/,Андреас Иопп,Мне очень нравится курить… но я бросаю!,False
23,/benedikt-vells/konec-odinochestva/,Бенедикт Велльс,Конец одиночества,False
24,/r-froning/kak-krossfit-sdelal-menya-samym-fizicheski-podgotovlennym-chelovekom-zemli/,Рич Фронинг,Как кроссфит сделал меня самым физически подготовленным человеком Земли,False
