,Link,Author,Title,Is_Audio
0,/nil-stivenson/semievie/,Нил Стивенсон,Семиевие,False
1,/ludmila-martova/pervyy-shag-k-mechte/,Людмила Мартова,Первый шаг к мечте,False
2,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
3,/donato-karrizi/zhenschina-s-bumazhnymi-cvetami/,Донато Карризи,Женщина с бумажными цветами,False
4,/dalay-lama-xiv/iskusstvo-byt-schastlivym/,Далай-лама XIV,Искусство быть счастливым,False
5,/den-brule/prosto-dyshi-spokoystvie-garmoniya-zdorove-uspeh/,Дэн Брюле,Просто дыши. Спокойствие. Гармония. Здоровье. Успех,False
6,/ekaterina-ostrovskaya/aktery-zatonuvshego-teatra/,Екатерина Островская,Актеры затонувшего театра,False
7,/viktor-pelevin/t-26117967/,Виктор Пелевин,t,True
8,/gerbi-brennan/tainstvennyy-mir-koshek/,Герби Бреннан,Таинственный мир кошек,False
9,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
10,/denis-celyh/romancev-pravda-obo-mne-i-spartake/,Денис Целых,Романцев. Правда обо мне и «Спартаке»,False
11,/mayk-viking/lykke-v-poiskah-sekretov-samyh-schastlivyh-ludey/,Майк Викинг,Lykke. В поисках секретов самых счастливых людей,False
12,/adel-faber/kak-govorit-s-detmi-chtoby-oni-uchilis-23118681/,Элейн Мазлиш,"Как говорить с детьми, чтобы они учились",False
13,/genri-haggard/kopi-carya-solomona-173402/,Генри Райдер Хаггард,Копи царя Соломона,True
14,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
15,/madlen-l-engl/izlom-vremeni/,Мадлен Л`Энгл,Излом времени,False
16,/bernar-verber/zvezdnaya-babochka-9598677/,Бернар Вербер,Звездная бабочка,False
17,/gabriella-bennett/coorie-shotlandskoe-iskusstvo-schastya-40213518/,Габриэлла Беннетт,Coorie. Шотландское искусство счастья,False
18,/terri-pratchett/strazha-strazha-33391565/,Терри Пратчетт,Стража! Стража!,True
19,/sesiliya-ahern/tam-gde-ty/,Сесилия Ахерн,"Там, где ты",False
20,/elison-ueyr/ekaterina-aragonskaya-istinnaya-koroleva/,Элисон Уэйр,Екатерина Арагонская. Истинная королева,False
21,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
22,/edmond-gamilton/zvezdnye-koroli-19196049/,Эдмонд Мур Гамильтон,Звездные короли (сборник),False
23,/gillian-flinn/kto-to-vzroslyy/,Гиллиан Флинн,Кто-то взрослый,False
24,/dzherald-darrell/tri-bileta-do-edvencher/,Джеральд Даррелл,Три билета до Эдвенчер,False
25,/mark-tven/priklucheniya-toma-soyera-kniga-dlya-chteniya-na-angliy-14077545/,Марк Твен,Приключения Тома Сойера. Книга для чтения на английском языке,False
26,/chezare-lombrozo/zhenschina-prestupnica-i-prostitutka-173406/,Чезаре Ломброзо,Женщина – преступница и проститутка,True
27,/nikolay-gogol/viy-5807210/,Николай Гоголь,Вий,True
28,/dzheyn-ostin/gordost-i-predubezhdenie-sokraschennyy-pereskaz-173425/,Джейн Остин,Гордость и предубеждение (сокращенный пересказ),True
29,/viktoriya-tokareva/skazat-ne-skazat/,Виктория Токарева,Сказать – не сказать… (сборник),False
30,/brem-stoker/drakula-inscenirovka-173327/,Брэм Стокер,Дракула (инсценировка),True
31,/rayan-ferguson/zona-trenirovok-stan-silnee-bystree-i-umnee/,Райан Фергюсон,"Зона тренировок. Стань сильнее, быстрее и умнее",False
32,/shennon-leoni-fauler/puteshestvuya-s-priznakami-vdohnovlyauschaya-istoriya/,Шэннон Леони Фаулер,Путешествуя с призраками. Вдохновляющая история любви и поиска себя,False
33,/ivan-turgenev/shkolnaya-hrestomatiya-otcy-i-deti-5314576/,Иван Тургенев,Школьная хрестоматия. Отцы и дети,True
34,/mayn-rid/morskoy-volchonok-5317309/,Майн Рид,Морской волчонок,True
35,/charlz-dikkens/oliver-tvist-kniga-dlya-chteniya-na-angliyskom-yazyke-11981782/,Чарльз Диккенс,Оливер Твист. Книга для чтения на английском языке,False
