,Link,Author,Title,Is_Audio
0,/dzhon-steynbek/russkiy-dnevnik/,Джон Стейнбек,Русский дневник,False
1,/robin-hobb/ubiyca-shuta/,Робин Хобб,Убийца Шута,False
2,/anne-katrine-vestli/papa-mama-babushka-vosem-detey-i-gruzovik/,Анне-Катрине Вестли,"Папа, мама, бабушка, восемь детей и грузовик (сборник)",False
3,/adel-faber/kak-govorit-s-detmi-chtoby-oni-uchilis-23118681/,Элейн Мазлиш,"Как говорить с детьми, чтобы они учились",False
4,/rudolf-erih-raspe/priklucheniya-barona-munhauzena-280192/,Рудольф Эрих Распе,Приключения барона Мюнхаузена,True
5,/mishel-bussi/poka-ty-ne-spish-22457942/,Мишель Бюсси,Пока ты не спишь,True
6,/makiko-nakamuro/kak-sdelat-chtoby-rebenok-uchilsya-s-udovolstviem-yaponski/,Макико Накамуро,"Как сделать, чтобы ребенок учился с удовольствием? Японские ответы на неразрешимые вопросы",False
7,/oota-tosimasa/samyy-luchshiy-papa-kak-ostavatsya-v-serdce-rebenka-kogda-rabotaesh-s-utra-do-vechera/,Тосимаса Оота,"Самый лучший папа! Как оставаться в сердце ребенка, когда работаешь с утра до вечера",False
8,/mark-tven/priklucheniya-toma-soyera-priklucheniya-geklberri-finna-173342/,Марк Твен,Приключения Тома Сойера. Приключения Гекльберри Финна,True
9,/evgeniy-gagloev/gorod-temnyh-sekretov-29019477/,Евгений Гаглоев,Пандемониум . Город темных секретов,True
10,/mayn-rid/vsadnik-bez-golovy-spektakl-173348/,Майн Рид,Всадник без головы (спектакль),True
11,/mark-tven/priklucheniya-toma-soyera-kniga-dlya-chteniya-na-angliy-14077545/,Марк Твен,Приключения Тома Сойера. Книга для чтения на английском языке,False
12,/esper-uul/hugge-datskiy-detskiy-mir-mudrye-sovety-roditelyam-ot-psihologa-iz-samoy-schastlivoy-strany/,Еспер Юуль,Хюгге. Датский детский мир: мудрые советы родителям от психолога из самой счастливой страны,False
13,/vasiliy-kluchevskiy/istoricheskie-portrety-i-etudy-5311682/,Василий Осипович Ключевский,Исторические портреты и этюды,True
14,/oskar-uayld/portret-doriana-greya-kniga-dlya-chteniya-na-angliysk-13155664/,Оскар Уайльд,Портрет Дориана Грея. Книга для чтения на английском языке,False
15,/edgar-po/the-mystery-of-marie-roget-stories-tayna-mari-rozhe-rasskazy-knig/,Эдгар Аллан По,The Mystery of Marie Roget. Stories / Тайна Мари Роже. Рассказы. Книга для чтения на английском языке,False
16,/a-iopp/mne-ochen-nravitsya-kurit-no-ya-brosau-2/,Андреас Иопп,Мне очень нравится курить… но я бросаю!,False
17,/h-shumeyker/ne-delitsya-eto-normalno-i-drugie-nepravilnye-pravila-vospitan/,Хизер Шумейкер,Не делиться – это нормально! И другие неправильные правила воспитания разумных и отзывчивых детей,False
18,/brem-stoker/drakula-inscenirovka-173327/,Брэм Стокер,Дракула (инсценировка),True
19,/rayan-ferguson/zona-trenirovok-stan-silnee-bystree-i-umnee/,Райан Фергюсон,"Зона тренировок. Стань сильнее, быстрее и умнее",False
