,Link,Author,Title,Is_Audio
0,/georgiy-daneliya/bezbiletnyy-passazhir/,Георгий Данелия,Безбилетный пассажир,False
1,/dina-rubina/russkaya-kanareyka-zheltuhin/,Дина Рубина,Русская канарейка. Желтухин,False
2,/haruki-murakami/norvezhskiy-les-10858418/,Харуки Мураками,Норвежский лес,False
3,/karen-uayt/muzyka-vetra/,Карен Уайт,Музыка ветра,False
4,/eduard-verkin/ostrov-sahalin/,Эдуард Веркин,Остров Сахалин,False
5,/trumen-kapote/zavtrak-u-tiffani-23750789/,Трумен Капоте,Завтрак у Тиффани,True
6,/filip-huk/zavtrak-u-sotheby-s-mir-iskusstva-ot-a-do-ya/,Филип Хук,Завтрак у Sotheby’s. Мир искусства от А до Я,False
7,/dzho-fril/bibliya-velosipedista/,Джо Фрил,Библия велосипедиста,False
8,/nik-vuychich/bezgranichnost-50-urokov-kotorye-sdelaut-tebya-vozmutitelno-s/,Ник Вуйчич,"Безграничность. 50 уроков, которые сделают тебя возмутительно счастливым",False
9,/haled-hosseyni/i-eho-letit-po-goram-21536925/,Халед Хоссейни,И эхо летит по горам,True
10,/dzhuliya-kouv/luchshe-est-zhit-chuvstvovat-recepty-blud-kotorye-p-38276316/,Джулия Коув,"Лучше есть, жить, чувствовать! Рецепты блюд, которые помогут вам стать здоровыми и счастливыми",False
11,/u-nesbe/krov-na-snegu-10213590/,Ю Несбё,Кровь на снегу,True
12,/tess-gerritsen/hirurg-29610533/,Тесс Герритсен,Хирург,True
13,/gabriel-bernshteyn-1/vselennaya-na-tvoey-storone-kak-prevratit-strah-v-nad/,Габриэль Бернштейн,Вселенная на твоей стороне. Как превратить страх в надежду на лучшее,False
14,/denis-celyh/romancev-pravda-obo-mne-i-spartake/,Денис Целых,Романцев. Правда обо мне и «Спартаке»,False
15,/gevin-frensis-126450/metamorfozy-puteshestvie-hirurga-po-samym-prekrasnym/,Гэвин Фрэнсис,Метаморфозы. Путешествие хирурга по самым прекрасным и ужасным изменениям человеческого тела,False
16,/boris-dzhonson/faktor-cherchillya-kak-odin-chelovek-izmenil-istoriu/,Борис Джонсон,Фактор Черчилля. Как один человек изменил историю,False
17,/adel-faber/svobodnye-roditeli-svobodnye-deti/,Элейн Мазлиш,"Свободные родители, свободные дети",False
18,/yohan-heyzinga/osen-srednevekovya/,Йохан Хёйзинга,Осень Средневековья,False
19,/antuan-de-sent-ekzuperi/malenkiy-princ-audiospektakl-23569794/,Антуан де Сент-Экзюпери,Маленький принц (аудиоспектакль),True
20,/shuke-macumoto/uborka-v-stile-dzen-metod-navedeniya-poryadka-bez-33173657/,Шуке Мацумото,Уборка в стиле дзен. Метод наведения порядка без усилий и стресса от буддийского монаха,True
21,/kris-gardner/v-pogone-za-schastem/,Крис Гарднер,В погоне за счастьем,False
22,/robert-haynlayn/iov-ili-komediya-spravedlivosti/,Роберт Хайнлайн,"Иов, или Комедия справедливости",False
23,/e-kristensen/yoga-dlya-vseh-put-k-zdorovu-2/,Элис Кристенсэн,Йога для всех. Путь к здоровью,False
24,/yan-beker/ty-mozhesh-vse-chto-zahochesh-kak-ispolzovat-magiu-pods-36343903/,Ян Бекер,"Ты можешь все, что захочешь! Как использовать магию подсознания для трансформации жизни",True
25,/vladimir-nabokov/strogie-suzhdeniya/,Владимир Набоков,Строгие суждения,False
26,/sara-uinman/samyy-odinokiy-chelovek/,Сара Уинман,Самый одинокий человек,False
27,/sara-uinman/divnaya-kniga-istin/,Сара Уинман,Дивная книга истин,False
28,/evgeniy-gagloev/gorod-temnyh-sekretov-29019477/,Евгений Гаглоев,Пандемониум . Город темных секретов,True
29,/dzheff-houi/sdvig-kak-vyzhit-v-stremitelnom-buduschem/,Джой Ито,Сдвиг. Как выжить в стремительном будущем,False
30,/dafna-dumore/francuzov-ruchey/,Дафна дю Морье,Французов ручей,False
31,/brayan-treysi/polnaya-vovlechennost-vdohnovlyayte-motiviruyte-i-raskryvayt/,Брайан Трейси,"Полная вовлеченность. Вдохновляйте, мотивируйте и раскрывайте все лучшее в своей команде",False
32,/gillian-flinn/kto-to-vzroslyy/,Гиллиан Флинн,Кто-то взрослый,False
33,/stefan-cveyg/neterpenie-serdca-18794887/,Стефан Цвейг,Нетерпение сердца,False
34,/brus-tulgan/ne-vsem-dostanetsya-priz-kak-upravlyat-pokoleniem-y-22667297/,Брюс Тулган,Не всем достанется приз. Как управлять поколением Y,False
